iter	Passed	Remaining
0	3187	3183816
1	3217	1605761
2	3246	1078788
3	3276	815800
4	3304	657592
5	3331	551967
6	3361	476844
7	3394	420977
8	3434	378164
9	3472	343743
10	3515	316116
11	3568	293808
12	3599	273257
13	3629	255596
14	3664	240615
15	3694	227210
16	3724	215350
17	3758	205050
18	3787	195557
19	3815	186946
20	3843	179160
21	3870	172063
22	3897	165576
23	3929	159779
24	3990	155618
25	4068	152420
26	4123	148612
27	4165	144616
28	4212	141031
29	4260	137750
30	4293	134203
31	4324	130803
32	4352	127537
33	4385	124603
34	4411	121638
35	4448	119116
36	4510	117399
37	4652	117783
38	4716	116214
39	4743	113839
40	4770	111585
41	4797	109437
42	4827	107439
43	4856	105511
44	4882	103608
45	4911	101861
46	4937	100120
47	4968	98546
48	4996	96982
49	5025	95490
50	5054	94044
51	5079	92608
52	5110	91312
53	5136	89985
54	5165	88745
55	5190	87494
56	5217	86311
57	5255	85352
58	5283	84274
59	5309	83187
60	5338	82176
61	5363	81152
62	5390	80174
63	5416	79219
64	5446	78343
65	5474	77466
66	5501	76606
67	5531	75809
68	5569	75147
69	5605	74473
70	5642	73827
71	5680	73211
72	5706	72462
73	5732	71732
74	5760	71042
75	5787	70361
76	5814	69694
77	5841	69044
78	5870	68441
79	5896	67809
80	5921	67185
81	5951	66623
82	6001	66309
83	6027	65727
84	6054	65177
85	6083	64652
86	6116	64186
87	6143	63672
88	6168	63139
89	6195	62647
90	6221	62149
91	6250	61685
92	6275	61200
93	6304	60766
94	6332	60322
95	6359	59882
96	6386	59458
97	6414	59037
98	6441	58619
99	6467	58210
100	6496	57826
101	6523	57433
102	6550	57049
103	6610	56954
104	6636	56571
105	6663	56203
106	6693	55862
107	6719	55499
108	6746	55147
109	6772	54794
110	6802	54480
111	6830	54157
112	6858	53836
113	6884	53506
114	6913	53200
115	6943	52916
116	6970	52604
117	6997	52304
118	7028	52031
119	7054	51734
120	7108	51641
121	7146	51433
122	7173	51149
123	7201	50875
124	7229	50606
125	7256	50333
126	7283	50066
127	7309	49792
128	7338	49546
129	7365	49295
130	7393	49047
131	7418	48784
132	7447	48549
133	7473	48298
134	7502	48071
135	7532	47851
136	7558	47615
137	7586	47386
138	7611	47149
139	7638	46923
140	7664	46695
141	7694	46489
142	7719	46264
143	7749	46067
144	7778	45869
145	7804	45651
146	7833	45453
147	7860	45251
148	7888	45055
149	7916	44860
150	7946	44677
151	7972	44477
152	7998	44281
153	8024	44082
154	8051	43892
155	8078	43707
156	8103	43510
157	8141	43385
158	8168	43206
159	8197	43035
160	8224	42857
161	8251	42685
162	8280	42517
163	8306	42341
164	8332	42166
165	8361	42008
166	8388	41841
167	8414	41670
168	8442	41511
169	8480	41402
170	8522	41315
171	8560	41208
172	8599	41106
173	8631	40976
174	8662	40839
175	8694	40706
176	8726	40576
177	8760	40455
178	8790	40316
179	8819	40177
180	8850	40048
181	8880	39915
182	8912	39791
183	8950	39693
184	8989	39602
185	9027	39509
186	9059	39388
187	9088	39255
188	9118	39126
189	9154	39027
190	9192	38934
191	9238	38880
192	9314	38945
193	9374	38948
194	9441	38978
195	9494	38944
196	9566	38994
197	9609	38922
198	9642	38813
199	9675	38701
200	9713	38612
201	9804	38733
202	9840	38634
203	9875	38534
204	9914	38450
205	9968	38423
206	10031	38430
207	10085	38400
208	10135	38358
209	10167	38248
210	10203	38153
211	10237	38052
212	10271	37951
213	10303	37843
214	10333	37728
215	10364	37618
216	10396	37512
217	10430	37414
218	10464	37320
219	10499	37224
220	10544	37169
221	10585	37098
222	10619	37002
223	10654	36910
224	10691	36825
225	10731	36752
226	10764	36657
227	10807	36592
228	10839	36496
229	10901	36496
230	10935	36404
231	10984	36361
232	11052	36381
233	11093	36313
234	11136	36252
235	11168	36156
236	11209	36087
237	11243	35998
238	11281	35922
239	11317	35838
240	11357	35769
241	11394	35690
242	11432	35614
243	11464	35520
244	11503	35449
245	11538	35366
246	11599	35363
247	11636	35285
248	11666	35186
249	11700	35101
250	11731	35007
251	11763	34915
252	11792	34817
253	11852	34810
254	11882	34714
255	11917	34635
256	12049	34835
257	12085	34756
258	12117	34666
259	12156	34598
260	12184	34500
261	12221	34424
262	12255	34342
263	12293	34272
264	12331	34202
265	12381	34165
266	12414	34082
267	12452	34012
268	12484	33926
269	12524	33863
270	12559	33785
271	12616	33768
272	12690	33796
273	12729	33728
274	12771	33671
275	12810	33603
276	12854	33552
277	12888	33474
278	12923	33397
279	12955	33312
280	12988	33233
281	13020	33151
282	13048	33060
283	13081	32980
284	13130	32942
285	13172	32886
286	13203	32801
287	13232	32713
288	13263	32630
289	13296	32552
290	13330	32479
291	13361	32397
292	13396	32326
293	13427	32245
294	13460	32167
295	13498	32103
296	13537	32042
297	13574	31976
298	13605	31898
299	13637	31821
300	13670	31747
301	13702	31669
302	13736	31598
303	13772	31531
304	13810	31468
305	13850	31412
306	13883	31340
307	13924	31284
308	13955	31208
309	13994	31148
310	14027	31077
311	14059	31003
312	14106	30962
313	14149	30913
314	14185	30847
315	14222	30786
316	14256	30716
317	14295	30659
318	14329	30591
319	14372	30542
320	14404	30469
321	14441	30408
322	14474	30338
323	14509	30272
324	14541	30201
325	14598	30182
326	14650	30153
327	14722	30162
328	14774	30131
329	14815	30080
330	14875	30065
331	14930	30041
332	14977	29999
333	15022	29955
334	15090	29955
335	15134	29908
336	15184	29873
337	15224	29818
338	15263	29761
339	15297	29695
340	15327	29621
341	15360	29552
342	15401	29500
343	15441	29446
344	15474	29379
345	15501	29301
346	15535	29235
347	15574	29180
348	15614	29125
349	15672	29106
350	15737	29098
351	15772	29035
352	15801	28961
353	15843	28912
354	15884	28860
355	15934	28824
356	15972	28767
357	16003	28698
358	16041	28642
359	16076	28580
360	16113	28522
361	16152	28467
362	16195	28420
363	16242	28379
364	16277	28318
365	16321	28273
366	16364	28225
367	16403	28170
368	16447	28125
369	16492	28081
370	16538	28039
371	16597	28019
372	16648	27985
373	16693	27940
374	16732	27887
375	16772	27835
376	16810	27780
377	16843	27715
378	16874	27649
379	16913	27595
380	16942	27526
381	16976	27464
382	17016	27413
383	17053	27356
384	17097	27311
385	17133	27253
386	17165	27189
